风机编号,厂商,集电线路,开始时间,结束时间,持续长度(min),状态码,冻结有功kW,冻结风速ms,同时冻结风机数,异常类型
96,明阳,WU,2024-03-15 00:00:00,2024-08-27 11:53:00,236874,6.0,0.0,0.0,4,多机-小范围-长时
119,东气,DING,2024-03-15 00:00:00,2024-03-15 01:35:00,96,110.0,0.0,0.0,4,多机-小范围-长时
150,东气,DING,2024-03-15 00:00:00,2024-03-18 18:54:00,5455,113.0,0.0,0.0,4,多机-小范围-长时
154,明阳,BING,2024-03-15 00:00:00,2024-03-15 15:44:00,945,3.0,0.0,0.0,4,多机-小范围-长时
119,东气,DING,2024-03-15 01:56:00,2024-03-15 02:02:00,7,110.0,0.0,0.0,1,单机-短时
119,东气,DING,2024-03-15 02:08:00,2024-03-15 02:38:00,31,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-15 02:54:00,2024-03-15 05:37:00,164,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-15 06:06:00,2024-03-15 06:40:00,35,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-15 06:54:00,2024-03-15 08:33:00,100,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-15 08:35:00,2024-03-15 09:42:00,68,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-15 10:09:00,2024-03-15 10:42:00,34,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-15 10:59:00,2024-03-15 13:35:00,157,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-15 14:04:00,2024-03-15 14:39:00,36,110.0,0.0,0.0,1,单机-长时
64,明阳,WU,2024-03-15 14:39:00,2024-03-15 14:45:00,7,6.0,0.0,2.1875,1,单机-短时
119,东气,DING,2024-03-15 14:54:00,2024-03-15 17:33:00,160,110.0,0.0,0.0,1,单机-长时
154,明阳,BING,2024-03-15 15:46:00,2024-03-15 17:36:00,111,3.0,0.0,0.0,1,单机-长时
77,明阳,WU,2024-03-15 16:25:00,2024-03-15 20:06:00,222,3.0,0.0,0.0,1,单机-长时
65,明阳,WU,2024-03-15 16:29:00,2024-03-15 16:41:00,13,3.0,0.0,0.0,1,单机-短时
154,明阳,BING,2024-03-15 17:38:00,2024-03-16 14:39:00,1262,3.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-15 18:06:00,2024-03-15 18:38:00,33,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-15 18:56:00,2024-03-15 20:33:00,98,110.0,0.0,0.0,1,单机-长时
77,明阳,WU,2024-03-15 20:07:00,2024-03-15 20:24:00,18,3.0,0.0,0.0,1,单机-长时
64,明阳,WU,2024-03-15 20:14:00,2024-03-15 20:25:00,12,0.0,0.0,0.0,1,单机-短时
77,明阳,WU,2024-03-15 20:25:00,2024-03-15 20:30:00,6,3.0,0.0,0.0,1,单机-短时
77,明阳,WU,2024-03-15 20:31:00,2024-03-15 20:40:00,10,3.0,0.0,0.0,1,单机-短时
63,明阳,WU,2024-03-15 20:33:00,2024-03-15 20:37:00,5,0.0,0.0,0.0,2,多机-小范围-短时
151,东气,DING,2024-03-15 20:33:00,2024-03-18 18:36:00,4204,113.0,0.0,0.0,2,多机-小范围-长时
119,东气,DING,2024-03-15 20:35:00,2024-03-15 21:35:00,61,110.0,0.0,0.0,1,单机-长时
152,东气,DING,2024-03-15 21:20:00,2024-03-18 18:49:00,4170,113.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-15 22:05:00,2024-03-15 22:39:00,35,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-15 22:55:00,2024-03-16 01:38:00,164,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-16 02:10:00,2024-03-16 02:40:00,31,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-16 02:55:00,2024-03-16 05:38:00,164,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-16 06:10:00,2024-03-16 06:44:00,35,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-16 06:59:00,2024-03-16 07:24:00,26,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-16 07:26:00,2024-03-16 09:43:00,138,110.0,0.0,0.0,1,单机-长时
65,明阳,WU,2024-03-16 09:59:00,2024-03-16 10:06:00,8,3.0,0.0,0.0,1,单机-短时
119,东气,DING,2024-03-16 10:04:00,2024-03-16 10:09:00,6,110.0,0.0,0.0,1,单机-短时
66,明阳,WU,2024-03-16 10:11:00,2024-03-16 10:28:00,18,5.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-16 10:12:00,2024-03-16 10:41:00,30,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-16 10:54:00,2024-03-16 13:31:00,158,110.0,0.0,0.0,1,单机-长时
81,明阳,WU,2024-03-16 11:00:00,2024-03-16 12:11:00,72,3.0,0.0,4.2727,1,单机-长时
81,明阳,WU,2024-03-16 12:13:00,2024-03-16 19:58:00,466,0.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-16 14:02:00,2024-03-16 14:31:00,30,110.0,0.0,0.0,1,单机-长时
154,明阳,BING,2024-03-16 14:42:00,2024-03-16 16:35:00,114,3.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-16 14:50:00,2024-03-16 17:08:00,139,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-16 17:10:00,2024-03-16 17:20:00,11,110.0,0.0,0.0,1,单机-短时
119,东气,DING,2024-03-16 17:53:00,2024-03-16 18:20:00,28,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-16 18:28:00,2024-03-16 18:32:00,5,110.0,0.0,0.0,1,单机-短时
119,东气,DING,2024-03-16 18:39:00,2024-03-16 20:43:00,125,110.0,0.0,0.0,1,单机-长时
