P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,line,line_name,scheme,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
0.0,10.0,4.416854,2.281818999999997,22163,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
10.0,20.0,14.813013,1.6995559999999976,17088,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
20.0,30.0,24.772356,1.7346910000000015,16117,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
30.0,40.0,34.9000035,1.873625999999998,13120,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
40.0,50.0,45.136692,2.013548,13141,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
50.0,60.0,54.562343,2.1661814999999933,11332,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
60.0,70.0,64.70227,2.3499669999999995,9398,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
70.0,80.0,74.97634,2.5650949999999995,7933,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
80.0,90.0,84.880455,2.7588340000000073,7435,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
90.0,100.0,94.80722499999999,3.0357520000000093,6552,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
100.0,110.0,104.90484,3.3471700000000055,6323,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
110.0,120.0,114.57157799999999,3.549340000000001,5782,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
120.0,130.0,124.906175,3.8366730000000118,4998,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
130.0,140.0,134.84695,4.126310000000018,4645,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
140.0,150.0,144.97672,4.497529999999983,4119,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
150.0,160.0,155.10408999999999,4.846824850000004,3850,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
160.0,170.0,165.08552,5.084550149999998,3956,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
170.0,180.0,174.594105,5.335384999999988,3876,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
180.0,190.0,184.956635,5.669715000000011,3376,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
190.0,200.0,195.21486,6.003590000000003,3053,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
200.0,210.0,204.90857,6.418169499999891,3267,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
210.0,220.0,214.96214,6.827799999999968,3201,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
220.0,230.0,225.094025,7.000204699999998,3302,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
230.0,240.0,234.69025,7.5393800000000795,2893,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
240.0,250.0,245.422965,8.139224850000033,2796,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
250.0,260.0,255.50119,8.605830000000026,4521,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
260.0,270.0,264.99896,9.106110000000001,4673,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
270.0,280.0,274.90826500000003,9.339140000000071,3120,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
280.0,290.0,283.48762,9.785775000000001,3158,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
290.0,300.0,293.56802,10.636449999999968,611,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
0.0,10.0,9.011436,1.9759659999999997,3709,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
10.0,20.0,14.813013,1.6995559999999976,17088,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
20.0,30.0,24.772356,1.7346910000000015,16117,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
30.0,40.0,34.9000035,1.873625999999998,13120,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
40.0,50.0,45.136692,2.013548,13141,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
50.0,60.0,54.562343,2.1661814999999933,11332,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
60.0,70.0,64.70227,2.3499669999999995,9398,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
70.0,80.0,74.97634,2.5650949999999995,7933,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
80.0,90.0,84.880455,2.7588340000000073,7435,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
90.0,100.0,94.80722499999999,3.0357520000000093,6552,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
100.0,110.0,104.90484,3.3471700000000055,6323,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
110.0,120.0,114.57157799999999,3.549340000000001,5782,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
120.0,130.0,124.906175,3.8366730000000118,4998,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
130.0,140.0,134.84695,4.126310000000018,4645,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
140.0,150.0,144.97672,4.497529999999983,4119,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
150.0,160.0,155.10408999999999,4.846824850000004,3850,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
160.0,170.0,165.08552,5.084550149999998,3956,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
170.0,180.0,174.594105,5.335384999999988,3876,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
180.0,190.0,184.956635,5.669715000000011,3376,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
190.0,200.0,195.21486,6.003590000000003,3053,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
200.0,210.0,204.90857,6.418169499999891,3267,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
210.0,220.0,214.96214,6.827799999999968,3201,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
220.0,230.0,225.094025,7.000204699999998,3302,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
230.0,240.0,234.69025,7.5393800000000795,2893,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
