P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,region,bin_source,sigma_local,sigma_sample_n,var_local,line,line_name,scheme,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b,interp_order
0.0,10.0,4.416854,2.281818999999997,22163,1,10.0,20,high,high_fit_bins,0.685972739447832,22163,0.4705585992655632,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,1
10.0,20.0,14.813013,1.6995559999999976,17088,1,10.0,20,high,high_fit_bins,0.5779818707016421,17088,0.33406304285976973,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,2
20.0,30.0,24.772356,1.7346910000000015,16117,1,10.0,20,high,high_fit_bins,0.6066848672735535,16117,0.36806652817872926,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,3
30.0,40.0,34.9000035,1.873625999999998,13120,1,10.0,20,high,high_fit_bins,0.6804538402185788,13120,0.46301742866821116,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,4
40.0,50.0,45.136692,2.013548,13141,1,10.0,20,high,high_fit_bins,0.8176152910764811,13141,0.668494764202079,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,5
50.0,60.0,54.562343,2.1661814999999933,11332,1,10.0,20,high,high_fit_bins,0.9433450219268856,11332,0.8898998303942364,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,6
60.0,70.0,64.70227,2.3499669999999995,9398,1,10.0,20,high,high_fit_bins,1.1240962329896191,9398,1.263592341021452,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,7
70.0,80.0,74.97634,2.5650949999999995,7933,1,10.0,20,high,high_fit_bins,1.2489120937451919,7933,1.559781417902999,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,8
80.0,90.0,84.880455,2.7588340000000073,7435,1,10.0,20,high,high_fit_bins,1.4022678540510685,7435,1.9663551345049886,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,9
90.0,100.0,94.80722499999999,3.0357520000000093,6552,1,10.0,20,high,high_fit_bins,1.5461353492666645,6552,2.390534518251951,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,10
100.0,110.0,104.90484,3.3471700000000055,6323,1,10.0,20,high,high_fit_bins,1.731345821318841,6323,2.997558352998212,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,11
110.0,120.0,114.57157799999999,3.549340000000001,5782,1,10.0,20,high,high_fit_bins,1.783745783841657,5782,3.1817490213728874,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,12
120.0,130.0,124.906175,3.8366730000000118,4998,1,10.0,20,high,high_fit_bins,1.9052813353524087,4998,3.630096966842258,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,13
130.0,140.0,134.84695,4.126310000000018,4645,1,10.0,20,high,high_fit_bins,2.073536073246302,4645,4.299551847053694,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,14
140.0,150.0,144.97672,4.497529999999983,4119,1,10.0,20,high,high_fit_bins,2.3082544770304523,4119,5.3280387307311265,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,15
150.0,160.0,155.10408999999999,4.846824850000004,3850,1,10.0,20,high,high_fit_bins,2.3840336641523336,3850,5.683616511811602,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,16
160.0,170.0,165.08552,5.084550149999998,3956,1,10.0,20,high,high_fit_bins,2.409517208259309,3956,5.805773176897734,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,17
170.0,180.0,174.594105,5.335384999999988,3876,1,10.0,20,high,high_fit_bins,2.537749645126205,3876,6.44017326133818,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,18
180.0,190.0,184.956635,5.669715000000011,3376,1,10.0,20,high,high_fit_bins,2.7077614020500373,3376,7.331971810431984,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,19
190.0,200.0,195.21486,6.003590000000003,3053,1,10.0,20,high,high_fit_bins,2.7078973042953542,3053,7.332707810610047,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,20
200.0,210.0,204.90857,6.418169499999891,3267,1,10.0,20,high,high_fit_bins,2.798889249588364,3267,7.833781031461316,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,21
210.0,220.0,214.96214,6.827799999999968,3201,1,10.0,20,high,high_fit_bins,2.8691943075880526,3201,8.232275974695686,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,22
220.0,230.0,225.094025,7.000204699999998,3302,1,10.0,20,high,high_fit_bins,2.9180817177848932,3302,8.515200911670433,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,23
230.0,240.0,234.69025,7.5393800000000795,2893,1,10.0,20,high,high_fit_bins,2.9320379203603593,2893,8.5968463664311,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,24
240.0,250.0,245.422965,8.139224850000033,2796,1,10.0,20,high,high_fit_bins,2.9093746963637033,2796,8.46446112384139,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,25
250.0,260.0,255.50119,8.605830000000026,4521,1,10.0,20,high,high_fit_bins,2.1516232333185115,4521,4.629482538156005,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,26
260.0,270.0,264.99896,9.106110000000001,4673,1,10.0,20,high,high_fit_bins,1.9951885108744254,4673,3.980777193925307,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,27
270.0,280.0,274.90826500000003,9.339140000000071,3120,1,10.0,20,high,high_fit_bins,2.045859222149817,3120,4.185539956855454,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,28
280.0,290.0,283.48762,9.785775000000001,3158,1,10.0,20,high,high_fit_bins,1.405599992696363,3158,1.9757113394680155,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,29
290.0,300.0,293.56802,10.636449999999968,611,1,10.0,20,high,high_fit_bins,1.1580062568302756,611,1.3409784908580662,BING,丙（BING）,A,CT_eff,CT_eff,,10.0,30
0.0,0.5,0.286225825,3.204715535,560,1,0.5,20,low,low_lookup,0.46923459857590094,560,0.2201811085006869,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,1
0.5,1.0,0.69125053,3.0139003,1128,1,0.5,20,low,low_lookup,0.4989800062837111,1128,0.24898104667089235,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,2
1.0,1.5,1.2703653,2.766644500000001,1406,1,0.5,20,low,low_lookup,0.4988508381580283,1406,0.24885215873096733,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,3
1.5,2.0,1.7418356,2.683563199999999,1635,1,0.5,20,low,low_lookup,0.7763160853098918,1639,0.6026666643108752,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,4
2.0,2.5,2.2477193,2.593816999999999,1511,1,0.5,20,low,low_lookup,0.7907949683812624,1515,0.6253566820171218,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,5
2.5,3.0,2.74213325,2.4361611499999993,1364,1,0.5,20,low,low_lookup,0.6590552132894775,1366,0.43435377416403864,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,6
3.0,3.5,3.2427397,2.3298297000000012,1273,1,0.5,20,low,low_lookup,0.6913981981871561,1275,0.47803146845644595,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,7
3.5,4.0,3.7482,2.2994007999999977,1189,1,0.5,20,low,low_lookup,0.5638709923264382,1189,0.31795049598720215,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,8
4.0,4.5,4.2529698499999995,2.2374119999999995,1204,1,0.5,20,low,low_lookup,0.6515864887558611,1205,0.42456495232919195,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,9
4.5,5.0,4.74717525,2.1549309500000007,1166,1,0.5,20,low,low_lookup,0.5474559416050578,1167,0.2997080079986805,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,10
5.0,5.5,5.236549,2.0922337000000004,1123,1,0.5,20,low,low_lookup,0.637464804051103,1126,0.40636137640391107,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,11
5.5,6.0,5.74803305,2.0599274999999997,996,1,0.5,20,low,low_lookup,0.557052828018439,999,0.3103078532033406,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,12
6.0,6.5,6.2584233000000005,2.00814225,1016,1,0.5,20,low,low_lookup,0.5692401873478815,1021,0.32403439089185126,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,13
6.5,7.0,6.7577796,1.9304496999999978,929,1,0.5,20,low,low_lookup,0.691516094562633,978,0.47819450903915633,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,14
7.0,7.5,7.2272555999999994,1.851838249999998,854,1,0.5,20,low,low_lookup,0.6504022508528107,964,0.42302308791440246,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,15
7.5,8.0,7.7324166,1.7163914,661,1,0.5,20,low,low_lookup,0.5588463154161375,911,0.31230920425419306,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,16
8.0,8.5,8.1897615,1.55292925,344,1,0.5,20,low,low_lookup,0.5583459802033036,888,0.3117502336091879,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,17
8.5,10.0,8.607636,1.1521710000000045,95,3,0.5,20,low,low_lookup,0.678905971787783,2826,0.460913318529114,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,18
0.0,10.0,9.011436,1.9759659999999997,3709,1,10.0,20,high,high_fit_bins,0.6441138405921284,22163,0.4148826396423418,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,19
10.0,20.0,14.813013,1.6995559999999976,17088,1,10.0,20,high,high_fit_bins,0.5772193913750125,17088,0.3331822257793399,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,20
20.0,30.0,24.772356,1.7346910000000015,16117,1,10.0,20,high,high_fit_bins,0.6066848672735535,16117,0.36806652817872926,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,21
30.0,40.0,34.9000035,1.873625999999998,13120,1,10.0,20,high,high_fit_bins,0.6804538402185788,13120,0.46301742866821116,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,22
40.0,50.0,45.136692,2.013548,13141,1,10.0,20,high,high_fit_bins,0.8176152910764811,13141,0.668494764202079,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,23
50.0,60.0,54.562343,2.1661814999999933,11332,1,10.0,20,high,high_fit_bins,0.9433450219268856,11332,0.8898998303942364,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,24
60.0,70.0,64.70227,2.3499669999999995,9398,1,10.0,20,high,high_fit_bins,1.1240962329896191,9398,1.263592341021452,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,25
70.0,80.0,74.97634,2.5650949999999995,7933,1,10.0,20,high,high_fit_bins,1.2489120937451919,7933,1.559781417902999,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,26
80.0,90.0,84.880455,2.7588340000000073,7435,1,10.0,20,high,high_fit_bins,1.4022678540510685,7435,1.9663551345049886,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,27
90.0,100.0,94.80722499999999,3.0357520000000093,6552,1,10.0,20,high,high_fit_bins,1.5461353492666645,6552,2.390534518251951,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,28
100.0,110.0,104.90484,3.3471700000000055,6323,1,10.0,20,high,high_fit_bins,1.731345821318841,6323,2.997558352998212,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,29
110.0,120.0,114.57157799999999,3.549340000000001,5782,1,10.0,20,high,high_fit_bins,1.783745783841657,5782,3.1817490213728874,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,30
120.0,130.0,124.906175,3.8366730000000118,4998,1,10.0,20,high,high_fit_bins,1.9052813353524087,4998,3.630096966842258,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,31
130.0,140.0,134.84695,4.126310000000018,4645,1,10.0,20,high,high_fit_bins,2.073536073246302,4645,4.299551847053694,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,32
140.0,150.0,144.97672,4.497529999999983,4119,1,10.0,20,high,high_fit_bins,2.3082544770304523,4119,5.3280387307311265,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,33
150.0,160.0,155.10408999999999,4.846824850000004,3850,1,10.0,20,high,high_fit_bins,2.3840336641523336,3850,5.683616511811602,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,34
160.0,170.0,165.08552,5.084550149999998,3956,1,10.0,20,high,high_fit_bins,2.409517208259309,3956,5.805773176897734,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,35
170.0,180.0,174.594105,5.335384999999988,3876,1,10.0,20,high,high_fit_bins,2.537749645126205,3876,6.44017326133818,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,36
