region,bin_source,sigma_switch_threshold,P_left,P_right,P_med,sigma_local,n,base_bin_count,bin_width,min_bin_samples,line,line_name,scheme,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
high,high_fit_bins,0.0,0.0,10.0,4.416854,0.685972739447832,22163,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,10.0,20.0,14.813013,0.5779818707016421,17088,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,20.0,30.0,24.772356,0.6066848672735535,16117,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,30.0,40.0,34.9000035,0.6804538402185788,13120,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,40.0,50.0,45.136692,0.8176152910764811,13141,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,50.0,60.0,54.562343,0.9433450219268856,11332,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,60.0,70.0,64.70227,1.1240962329896191,9398,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,70.0,80.0,74.97634,1.2489120937451919,7933,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,80.0,90.0,84.880455,1.4022678540510685,7435,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,90.0,100.0,94.80722499999999,1.5461353492666645,6552,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,100.0,110.0,104.90484,1.731345821318841,6323,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,110.0,120.0,114.57157799999999,1.783745783841657,5782,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
