风机编号,厂家,清洗建议,受影响记录数
63,明阳,保留,5
63,明阳,删除,10798
64,明阳,人工复核,27
64,明阳,保留,6036
64,明阳,删除,12315
65,明阳,人工复核,37
65,明阳,保留,12
65,明阳,删除,10713
66,明阳,人工复核,5
66,明阳,保留,300
66,明阳,删除,10841
67,明阳,人工复核,264
67,明阳,保留,9
67,明阳,删除,8881
68,明阳,人工复核,18
68,明阳,删除,11092
69,明阳,人工复核,13
69,明阳,保留,345
69,明阳,删除,9948
70,明阳,人工复核,7
70,明阳,保留,238
70,明阳,删除,10356
71,明阳,人工复核,79
71,明阳,保留,488
71,明阳,删除,35102
72,明阳,人工复核,18
72,明阳,保留,220
72,明阳,删除,11297
73,明阳,人工复核,6
73,明阳,保留,257
73,明阳,删除,9045
74,明阳,人工复核,2969
74,明阳,保留,2278
74,明阳,删除,22113
75,明阳,人工复核,102
75,明阳,删除,11924
76,明阳,人工复核,13
76,明阳,保留,1271
76,明阳,删除,11797
77,明阳,人工复核,267
77,明阳,保留,27
77,明阳,删除,14020
78,明阳,人工复核,5
78,明阳,保留,48
78,明阳,删除,10970
79,明阳,人工复核,50
79,明阳,删除,13724
80,明阳,人工复核,3310
80,明阳,保留,1176
80,明阳,删除,12890
81,明阳,人工复核,168
81,明阳,保留,616
81,明阳,删除,10048
82,明阳,人工复核,200
82,明阳,保留,87
82,明阳,删除,11590
83,明阳,保留,36
83,明阳,删除,9882
84,明阳,删除,27810
85,明阳,人工复核,76
85,明阳,保留,213
85,明阳,删除,31008
86,明阳,人工复核,26
86,明阳,保留,159
86,明阳,删除,13426
87,明阳,人工复核,63
87,明阳,保留,4470
87,明阳,删除,11286
88,明阳,删除,12057
89,明阳,人工复核,91
89,明阳,保留,86
89,明阳,删除,9921
90,明阳,人工复核,149
90,明阳,保留,3181
90,明阳,删除,18810
91,明阳,人工复核,38
91,明阳,保留,202
91,明阳,删除,31544
92,明阳,人工复核,5
92,明阳,保留,99
92,明阳,删除,13515
93,明阳,人工复核,39
93,明阳,保留,5
93,明阳,删除,10838
94,明阳,人工复核,16
94,明阳,保留,14
94,明阳,删除,10367
95,明阳,人工复核,149
95,明阳,保留,128
95,明阳,删除,11910
96,明阳,人工复核,960
96,明阳,保留,41
96,明阳,删除,247102
97,明阳,人工复核,36
97,明阳,保留,26
97,明阳,删除,30834
98,明阳,保留,177
98,明阳,删除,9506
99,明阳,人工复核,20
99,明阳,删除,9455
100,明阳,保留,56
100,明阳,删除,31393
101,明阳,人工复核,6
101,明阳,保留,51
101,明阳,删除,10975
102,明阳,人工复核,82
102,明阳,删除,11858
103,明阳,人工复核,7
103,明阳,保留,18
103,明阳,删除,9421
104,明阳,人工复核,99
104,明阳,保留,874
104,明阳,删除,10364
105,明阳,保留,15
105,明阳,删除,10259
106,明阳,保留,63
106,明阳,删除,31162
107,明阳,保留,120
107,明阳,删除,33303
108,明阳,保留,281
108,明阳,删除,31306
109,明阳,删除,9732
110,东气,保留,5
110,东气,删除,9647
111,东气,删除,9678
112,东气,删除,10973
113,东气,保留,248
113,东气,删除,9424
114,东气,删除,10140
115,东气,删除,9896
