字段名,重复值,开始时间,结束时间,持续长度,is_zero_value,异常类型
ACTIVE_POWER_BING,0.0,2024-03-17 17:36:00,2024-03-17 17:40:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-18 00:59:00,2024-03-18 01:06:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-18 01:22:00,2024-03-18 01:48:00,27,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-18 01:56:00,2024-03-18 02:03:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-18 02:05:00,2024-03-18 02:10:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-22 04:50:00,2024-03-22 04:55:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-22 05:32:00,2024-03-22 05:40:00,9,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-22 05:45:00,2024-03-22 05:49:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-25 07:20:00,2024-03-25 07:27:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-25 09:08:00,2024-03-25 09:13:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-25 11:00:00,2024-03-25 11:06:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-25 12:52:00,2024-03-25 13:00:00,9,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-25 15:27:00,2024-03-25 15:32:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-25 16:05:00,2024-03-25 16:10:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-26 00:10:00,2024-03-26 00:36:00,27,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-03-26 00:56:00,2024-03-26 01:03:00,8,True,集电线路零值-需结合风机数据判断
