风机编号,联合重复总长度
63,10803
64,18378
65,10762
66,11146
67,9154
68,11110
69,10306
70,10601
71,35669
72,11535
73,9308
74,27360
75,12026
76,13081
77,14314
78,11023
79,13774
80,17376
81,10832
82,11877
83,9918
84,27810
85,31297
86,13611
87,15819
88,12057
89,10098
90,22140
91,31784
92,13619
93,10882
94,10397
95,12187
96,248103
97,30896
98,9683
99,9475
100,31449
101,11032
102,11940
103,9446
104,11337
105,10274
106,31225
107,33423
108,31587
109,9732
110,9652
111,9678
112,10973
113,9672
114,10140
115,9896
116,9684
117,9655
118,8953
119,110363
120,9838
121,9716
122,9692
123,9719
124,9745
125,9663
126,9750
127,9441
128,11016
129,9198
130,9764
131,9080
132,9831
133,11967
134,9730
135,10412
136,9689
137,9700
138,9981
139,9871
140,9623
141,9866
142,9718
143,10024
144,9651
145,28597
146,16429
147,14590
148,10014
149,9622
150,32192
151,27212
152,15385
153,10878
154,18164
155,11269
156,38558
157,43843
158,49229
159,9808
160,11930
161,36222
162,14194
163,15539
164,9421
165,17227
166,20784
167,9845
168,45825
169,12168
170,11612
171,13923
172,13861
173,11266
174,12828
175,12061
176,11194
177,11600
178,12099
179,10183
180,11031
181,11398
182,13415
183,14774
184,13196
185,10828
186,14157
187,11386
188,14395
189,10845
190,11278
191,10268
192,14721
193,10386
194,11490
195,12656
196,10984
197,11300
198,11500
199,11760
